sample_id,gene,expression,coverage,quality_score
S003,GENE_0026,5.813,211,22.6
S003,GENE_0027,5.335,419,29.6
S003,GENE_0028,4.347,189,35.3
S003,GENE_0029,6.564,82,34.0
S003,GENE_0030,8.046,326,21.2
S004,GENE_0001,3.552,441,37.2
S004,GENE_0002,2.707,164,22.4
S004,GENE_0003,7.303,417,32.0
S004,GENE_0004,3.990,435,25.5
S004,GENE_0005,6.635,217,26.3
S004,GENE_0006,4.643,419,30.0
S004,GENE_0007,8.508,294,32.9
S004,GENE_0008,5.647,121,33.9
S004,GENE_0009,4.175,420,28.6
S004,GENE_0010,5.540,58,21.9
S004,GENE_0011,4.765,314,29.4
S004,GENE_0012,5.540,380,35.3
S004,GENE_0013,2.773,390,29.3
S004,GENE_0014,2.689,445,29.6
S004,GENE_0015,4.264,76,33.9
S004,GENE_0016,3.543,105,26.8
S004,GENE_0017,6.237,262,27.5
S004,GENE_0018,5.443,398,27.6
S004,GENE_0019,6.260,230,38.0
S004,GENE_0020,6.210,410,29.7
S004,GENE_0021,5.369,168,27.4
S004,GENE_0022,6.604,396,21.2
S004,GENE_0023,4.052,128,34.8
S004,GENE_0024,6.108,131,26.6
S004,GENE_0025,5.217,191,21.3
S004,GENE_0026,3.927,179,35.4
S004,GENE_0027,5.307,261,27.4
S004,GENE_0028,6.392,182,34.3
S004,GENE_0029,5.881,470,34.5
S004,GENE_0030,5.590,492,24.3
S005,GENE_0001,5.363,399,21.9
S005,GENE_0002,3.647,116,34.3
S005,GENE_0003,7.113,64,24.0
S005,GENE_0004,5.502,277,34.8
S005,GENE_0005,10.590,105,23.1
S005,GENE_0006,5.017,395,33.7
S005,GENE_0007,4.654,304,28.5
S005,GENE_0008,4.427,349,31.0
S005,GENE_0009,8.267,89,29.7
S005,GENE_0010,5.411,421,30.1
S005,GENE_0011,4.563,482,22.0
S005,GENE_0012,7.088,390,31.4
S005,GENE_0013,5.661,427,32.5
S005,GENE_0014,4.109,326,27.4
S005,GENE_0015,3.062,485,32.1
S005,GENE_0016,4.646,179,35.1
S005,GENE_0017,6.147,121,35.8
S005,GENE_0018,5.814,425,28.9
S005,GENE_0019,4.779,445,23.2
S005,GENE_0020,3.597,74,29.3
S005,GENE_0021,7.806,276,25.8
S005,GENE_0022,3.986,98,27.1
S005,GENE_0023,5.226,213,24.1
S005,GENE_0024,3.970,359,28.2
S005,GENE_0025,4.084,286,26.9
S005,GENE_0026,7.824,464,25.4
S005,GENE_0027,4.910,160,32.3
S005,GENE_0028,4.343,404,27.7
S005,GENE_0029,6.245,131,24.8
S005,GENE_0030,3.072,251,37.0
S006,GENE_0001,3.832,123,38.7
S006,GENE_0002,5.998,496,36.9
S006,GENE_0003,3.399,273,37.3
S006,GENE_0004,3.831,210,35.5
S006,GENE_0005,4.909,196,22.3
S006,GENE_0006,5.662,304,21.2
S006,GENE_0007,4.222,234,37.0
S006,GENE_0008,4.758,262,22.4
S006,GENE_0009,4.745,184,32.5
S006,GENE_0010,4.043,279,20.9
S006,GENE_0011,7.262,93,25.0
S006,GENE_0012,2.789,381,32.0
S006,GENE_0013,3.304,285,24.0
S006,GENE_0014,5.247,362,29.1
S006,GENE_0015,4.324,442,34.5
S006,GENE_0016,6.848,378,24.1
S006,GENE_0017,4.416,269,22.4
S006,GENE_0018,2.879,434,23.9
S006,GENE_0019,6.254,220,34.6
S006,GENE_0020,4.553,270,24.8
S006,GENE_0021,5.847,432,30.3
S006,GENE_0022,6.386,437,36.5
S006,GENE_0023,7.595,453,32.3
S006,GENE_0024,7.069,157,25.5
S006,GENE_0025,5.075,85,35.7
S006,GENE_0026,6.878,276,22.5
S006,GENE_0027,6.028,85,36.5
S006,GENE_0028,3.623,70,28.2
S006,GENE_0029,4.527,499,21.1
S006,GENE_0030,5.531,236,39.6
S007,GENE_0001,5.003,387,25.2
S007,GENE_0002,7.704,438,39.6
S007,GENE_0003,6.866,333,23.3
S007,GENE_0004,1.941,264,35.0
S007,GENE_0005,5.443,222,23.0
S007,GENE_0006,4.032,85,21.4
S007,GENE_0007,3.019,215,24.5
S007,GENE_0008,3.198,438,22.7
S007,GENE_0009,5.221,188,28.1
S007,GENE_0010,5.601,315,33.3
S007,GENE_0011,4.044,182,21.8
S007,GENE_0012,6.634,166,29.2
S007,GENE_0013,4.758,362,34.2
S007,GENE_0014,2.195,180,34.5
S007,GENE_0015,3.204,291,28.5
S007,GENE_0016,4.504,198,35.7
S007,GENE_0017,4.412,475,30.1
S007,GENE_0018,5.207,170,37.3
S007,GENE_0019,5.558,284,24.0
S007,GENE_0020,4.016,100,37.3
S007,GENE_0021,3.049,97,34.0
S007,GENE_0022,3.267,111,29.8
S007,GENE_0023,5.388,102,27.1
S007,GENE_0024,4.636,171,36.7
S007,GENE_0025,5.611,201,39.6
S007,GENE_0026,3.188,103,24.7
S007,GENE_0027,5.249,435,37.0
S007,GENE_0028,3.852,249,25.3
S007,GENE_0029,5.354,67,26.0
S007,GENE_0030,3.678,170,30.7
S008,GENE_0001,3.402,406,29.1
S008,GENE_0002,5.679,80,31.3
S008,GENE_0003,4.375,150,38.8
S008,GENE_0004,4.652,69,37.5
S008,GENE_0005,4.601,484,22.4
S008,GENE_0006,4.708,208,29.7
S008,GENE_0007,4.928,228,37.8
S008,GENE_0008,3.665,399,27.7
S008,GENE_0009,4.599,495,35.9
S008,GENE_0010,2.867,322,26.4
S008,GENE_0011,6.239,360,27.4
S008,GENE_0012,7.689,70,26.4
S008,GENE_0013,7.143,159,39.2
S008,GENE_0014,4.067,340,20.4
S008,GENE_0015,2.871,161,39.4
S008,GENE_0016,3.684,212,35.2
S008,GENE_0017,2.771,230,37.0
S008,GENE_0018,5.536,247,34.4
S008,GENE_0019,6.863,56,39.4
S008,GENE_0020,3.915,372,28.0
S008,GENE_0021,5.375,427,34.5
S008,GENE_0022,7.668,474,27.2
S008,GENE_0023,5.424,352,36.1
S008,GENE_0024,5.523,260,39.4
S008,GENE_0025,4.932,50,31.6
S008,GENE_0026,4.942,256,25.1
S008,GENE_0027,6.987,124,23.8
S008,GENE_0028,4.399,196,35.7
S008,GENE_0029,5.018,348,34.1
S008,GENE_0030,4.404,473,37.0
S009,GENE_0001,5.268,476,39.5
S009,GENE_0002,3.136,221,32.5
S009,GENE_0003,5.489,458,38.4
S009,GENE_0004,4.471,486,21.2
S009,GENE_0005,6.895,392,37.6
S009,GENE_0006,6.423,442,38.4
S009,GENE_0007,5.129,96,33.8
S009,GENE_0008,5.641,426,21.3
S009,GENE_0009,6.110,111,23.2
S009,GENE_0010,7.625,70,22.3
S009,GENE_0011,6.062,77,38.7
S009,GENE_0012,2.420,141,29.6
S009,GENE_0013,5.957,403,25.8
S009,GENE_0014,5.744,369,37.4
S009,GENE_0015,4.668,170,38.2
S009,GENE_0016,7.107,442,33.0
S009,GENE_0017,3.668,83,21.8
S009,GENE_0018,3.168,188,27.8
S009,GENE_0019,4.787,172,35.3
S009,GENE_0020,1.152,150,31.6
S009,GENE_0021,5.118,308,20.7
S009,GENE_0022,2.896,235,34.0
S009,GENE_0023,5.745,61,20.9
S009,GENE_0024,5.557,381,31.1
S009,GENE_0025,4.903,233,32.7
S009,GENE_0026,7.473,472,25.7
S009,GENE_0027,6.118,286,30.8
S009,GENE_0028,4.296,157,38.8
S009,GENE_0029,8.452,372,22.6
S009,GENE_0030,5.846,125,23.3
S010,GENE_0001,9.250,198,25.3
S010,GENE_0002,4.640,323,22.9
S010,GENE_0003,5.521,185,23.2
S010,GENE_0004,5.354,272,20.9
S010,GENE_0005,6.467,223,36.1
S010,GENE_0006,2.254,468,37.3
S010,GENE_0007,4.805,179,30.7
S010,GENE_0008,6.234,298,37.8
S010,GENE_0009,4.807,168,39.2
S010,GENE_0010,8.041,477,28.6
S010,GENE_0011,6.474,221,27.1
S010,GENE_0012,5.405,193,38.8
S010,GENE_0013,4.415,371,27.6
S010,GENE_0014,6.163,200,23.0
S010,GENE_0015,5.513,309,28.0
S010,GENE_0016,5.863,277,24.6
S010,GENE_0017,7.005,359,39.7
S010,GENE_0018,7.696,185,39.9
S010,GENE_0019,5.930,437,22.4
S010,GENE_0020,5.088,457,39.1
S010,GENE_0021,5.285,403,22.1
S010,GENE_0022,5.924,230,26.4
S010,GENE_0023,5.478,454,32.9
S010,GENE_0024,5.313,391,35.9
S010,GENE_0025,6.789,353,24.0
S010,GENE_0026,6.523,163,29.3
S010,GENE_0027,3.851,372,29.3
S010,GENE_0028,6.562,437,29.1
S010,GENE_0029,6.630,337,21.9
S010,GENE_0030,3.721,392,34.1
S011,GENE_0001,2.977,417,27.4
S011,GENE_0002,5.815,407,26.9
S011,GENE_0003,5.751,212,29.3
S011,GENE_0004,7.276,84,26.6
S011,GENE_0005,5.492,363,26.4
S011,GENE_0006,8.791,106,28.6
S011,GENE_0007,7.554,262,25.9
S011,GENE_0008,4.956,185,28.5
S011,GENE_0009,5.774,340,32.0
S011,GENE_0010,3.559,379,33.8
S011,GENE_0011,5.680,102,21.8
S011,GENE_0012,3.430,402,26.6
S011,GENE_0013,5.635,482,23.1
S011,GENE_0014,4.077,445,39.6
S011,GENE_0015,7.424,381,28.6
S011,GENE_0016,5.879,102,28.1
S011,GENE_0017,5.817,242,23.3
S011,GENE_0018,6.662,114,26.2
S011,GENE_0019,7.482,329,24.1
S011,GENE_0020,5.633,258,29.8
S011,GENE_0021,5.177,133,38.3
S011,GENE_0022,7.454,499,36.2
S011,GENE_0023,4.630,233,35.9
S011,GENE_0024,0.100,285,23.7
S011,GENE_0025,7.001,462,27.4
S011,GENE_0026,4.310,386,38.9
S011,GENE_0027,4.935,405,37.3
S011,GENE_0028,4.677,483,28.9
S011,GENE_0029,8.375,272,22.1
S011,GENE_0030,6.357,168,36.0
S012,GENE_0001,4.312,152,34.8
S012,GENE_0002,6.066,364,35.2
S012,GENE_0003,3.466,80,39.5
S012,GENE_0004,4.179,83,38.8
S012,GENE_0005,4.737,404,33.2
S012,GENE_0006,3.703,63,25.3
S012,GENE_0007,6.467,339,20.1
S012,GENE_0008,5.692,238,33.1
S012,GENE_0009,4.135,266,36.4
S012,GENE_0010,4.850,104,30.1
S012,GENE_0011,5.744,209,31.7
S012,GENE_0012,6.036,431,32.1
S012,GENE_0013,5.333,306,23.3
S012,GENE_0014,3.643,270,29.0
S012,GENE_0015,4.826,324,29.4
S012,GENE_0016,3.723,135,35.0
S012,GENE_0017,2.659,84,23.6
S012,GENE_0018,7.428,67,38.1
S012,GENE_0019,3.441,349,38.7
S012,GENE_0020,4.254,438,24.6
S012,GENE_0021,3.032,200,36.6
S012,GENE_0022,3.552,245,26.9
S012,GENE_0023,5.453,88,37.6
S012,GENE_0024,4.979,313,32.7
S012,GENE_0025,7.147,362,25.2
S012,GENE_0026,8.461,159,38.1
S012,GENE_0027,5.284,239,29.7
S012,GENE_0028,4.835,424,31.6
S012,GENE_0029,4.624,317,29.0
S012,GENE_0030,6.398,432,34.7
S013,GENE_0001,4.100,271,37.4
S013,GENE_0002,6.829,394,30.9
S013,GENE_0003,5.573,186,24.7
S013,GENE_0004,4.179,136,27.9
S013,GENE_0005,6.353,436,37.0
S013,GENE_0006,6.802,297,35.2
S013,GENE_0007,4.579,309,25.6
S013,GENE_0008,4.910,429,23.6
S013,GENE_0009,5.227,340,26.4
S013,GENE_0010,6.107,259,26.8
S013,GENE_0011,6.305,496,23.2
S013,GENE_0012,6.006,214,38.3
S013,GENE_0013,4.461,455,38.8
S013,GENE_0014,3.709,207,37.5
S013,GENE_0015,4.792,191,38.4
S013,GENE_0016,7.141,376,26.3
S013,GENE_0017,6.831,349,22.5
S013,GENE_0018,5.903,244,38.9
S013,GENE_0019,6.303,373,38.1
S013,GENE_0020,5.175,333,36.6
S013,GENE_0021,5.913,57,35.4
S013,GENE_0022,4.884,347,21.6
S013,GENE_0023,4.316,285,35.1
S013,GENE_0024,6.319,449,20.1
S013,GENE_0025,3.156,180,36.0
S013,GENE_0026,7.925,331,25.6
S013,GENE_0027,4.155,78,22.6
S013,GENE_0028,2.769,434,25.4
S013,GENE_0029,7.536,433,30.4
S013,GENE_0030,9.677,53,29.3
S014,GENE_0001,5.133,100,37.0
S014,GENE_0002,11.057,128,25.1
S014,GENE_0003,4.779,105,36.3
S014,GENE_0004,6.761,193,39.4
S014,GENE_0005,5.008,311,23.3
S014,GENE_0006,7.003,187,20.1
S014,GENE_0007,3.581,451,21.7
S014,GENE_0008,6.662,393,30.6
S014,GENE_0009,5.128,397,39.6
S014,GENE_0010,5.444,402,23.8
S014,GENE_0011,6.419,449,37.9
S014,GENE_0012,4.365,343,34.4
S014,GENE_0013,4.431,467,35.7
S014,GENE_0014,5.535,246,26.1
S014,GENE_0015,4.989,312,39.2
S014,GENE_0016,6.446,136,22.2
S014,GENE_0017,4.642,130,34.6
S014,GENE_0018,5.205,420,21.0
S014,GENE_0019,5.602,396,29.0
S014,GENE_0020,8.686,494,28.5
S014,GENE_0021,2.717,108,21.2
S014,GENE_0022,5.210,473,36.9
S014,GENE_0023,3.638,322,28.6
S014,GENE_0024,4.738,400,39.6
S014,GENE_0025,3.190,136,36.5
S014,GENE_0026,7.959,440,38.2
S014,GENE_0027,4.531,142,33.3
S014,GENE_0028,3.311,204,21.1
S014,GENE_0029,6.239,209,21.3
S014,GENE_0030,4.941,212,37.8
S015,GENE_0001,5.970,336,30.5
S015,GENE_0002,7.029,170,28.3
S015,GENE_0003,2.908,428,31.1
S015,GENE_0004,4.835,309,33.6
S015,GENE_0005,3.568,101,29.9
S015,GENE_0006,5.483,298,30.3
S015,GENE_0007,4.334,283,24.1
S015,GENE_0008,5.658,174,33.5
S015,GENE_0009,4.867,401,32.6
S015,GENE_0010,6.605,280,32.9
S015,GENE_0011,6.165,80,23.0
S015,GENE_0012,9.348,153,20.4
S015,GENE_0013,4.528,261,40.0
S015,GENE_0014,4.338,129,33.0
S015,GENE_0015,8.038,425,38.8
S015,GENE_0016,3.421,126,33.1
S015,GENE_0017,4.055,109,21.2
S015,GENE_0018,7.005,173,36.2
S015,GENE_0019,4.137,197,35.2
S015,GENE_0020,5.687,424,33.6
S015,GENE_0021,8.475,281,25.3
S015,GENE_0022,4.550,452,23.2
S015,GENE_0023,7.832,469,23.8
S015,GENE_0024,8.142,358,23.9
S015,GENE_0025,6.320,328,31.3
S015,GENE_0026,3.711,187,21.4
S015,GENE_0027,6.329,103,32.3
S015,GENE_0028,7.593,363,20.1
S015,GENE_0029,8.654,446,24.7
S015,GENE_0030,5.032,190,30.4
S016,GENE_0001,6.496,397,38.1
S016,GENE_0002,8.048,457,24.0
S016,GENE_0003,5.870,321,39.4
S016,GENE_0004,6.592,327,29.2
S016,GENE_0005,3.239,355,21.0
S016,GENE_0006,2.790,305,35.0
S016,GENE_0007,3.336,437,31.7
S016,GENE_0008,4.777,157,21.8
S016,GENE_0009,2.854,87,28.9
S016,GENE_0010,6.063,65,27.1
S016,GENE_0011,5.396,424,30.0
S016,GENE_0012,4.722,91,33.6
S016,GENE_0013,3.704,115,25.7
S016,GENE_0014,4.943,323,39.1
S016,GENE_0015,6.256,126,28.4
S016,GENE_0016,8.929,50,24.7
S016,GENE_0017,5.374,285,27.5
S016,GENE_0018,7.562,360,35.8
S016,GENE_0019,8.280,371,34.0
S016,GENE_0020,5.450,376,31.0
S016,GENE_0021,4.961,209,33.4
S016,GENE_0022,6.055,262,38.0
S016,GENE_0023,6.788,285,20.1
S016,GENE_0024,4.667,497,20.9
S016,GENE_0025,3.710,331,22.0
S016,GENE_0026,4.089,123,39.0
S016,GENE_0027,4.271,216,34.0
S016,GENE_0028,5.246,75,20.9
S016,GENE_0029,4.993,360,32.2
S016,GENE_0030,6.036,187,20.4
S017,GENE_0001,7.193,147,37.0
S017,GENE_0002,4.664,295,27.3
S017,GENE_0003,3.433,84,35.6
S017,GENE_0004,2.423,335,37.7
S017,GENE_0005,6.687,458,33.9
S017,GENE_0006,2.921,408,33.1
S017,GENE_0007,6.846,141,21.1
S017,GENE_0008,4.330,206,23.0
S017,GENE_0009,5.067,181,22.8
S017,GENE_0010,3.075,488,35.2
S017,GENE_0011,1.644,192,33.8
S017,GENE_0012,3.436,114,25.6
S017,GENE_0013,3.918,285,24.3
S017,GENE_0014,4.781,240,33.0
S017,GENE_0015,5.777,299,30.3
S017,GENE_0016,7.177,473,24.6
S017,GENE_0017,4.296,435,36.6
S017,GENE_0018,4.380,177,32.0
S017,GENE_0019,3.732,461,25.4
S017,GENE_0020,5.451,258,21.7
S017,GENE_0021,2.385,272,28.5
S017,GENE_0022,4.598,159,30.5
S017,GENE_0023,4.651,200,33.4
S017,GENE_0024,7.401,445,28.3
S017,GENE_0025,5.636,428,28.9
S017,GENE_0026,4.541,360,23.9
S017,GENE_0027,6.791,387,36.4
S017,GENE_0028,6.953,77,27.1
S017,GENE_0029,6.062,245,25.5
S017,GENE_0030,3.216,167,33.3
S018,GENE_0001,2.911,131,37.2
S018,GENE_0002,2.207,362,21.1
S018,GENE_0003,5.025,304,24.8
S018,GENE_0004,8.630,290,28.5
S018,GENE_0005,8.196,97,23.9
S018,GENE_0006,5.502,106,31.4
S018,GENE_0007,3.495,396,30.8
S018,GENE_0008,3.803,243,34.9
S018,GENE_0009,4.139,91,24.5
S018,GENE_0010,6.526,422,39.7
S018,GENE_0011,5.509,375,32.8
S018,GENE_0012,4.496,218,20.7
S018,GENE_0013,6.476,421,36.9
S018,GENE_0014,5.160,401,26.5
S018,GENE_0015,5.961,74,31.6
S018,GENE_0016,5.113,497,26.5
S018,GENE_0017,4.550,99,20.5
S018,GENE_0018,5.883,285,26.6
S018,GENE_0019,4.745,489,29.4
S018,GENE_0020,3.629,295,25.5
S018,GENE_0021,5.083,190,26.4
S018,GENE_0022,7.636,319,30.4
S018,GENE_0023,5.317,233,39.6
S018,GENE_0024,8.527,164,29.7
S018,GENE_0025,4.113,91,37.9
S018,GENE_0026,4.648,427,33.3
S018,GENE_0027,5.751,292,20.2
S018,GENE_0028,5.876,78,33.9
S018,GENE_0029,5.870,106,37.4
S018,GENE_0030,3.353,463,35.0
S019,GENE_0001,3.584,132,39.2
S019,GENE_0002,4.446,380,31.2
S019,GENE_0003,4.559,279,34.2
S019,GENE_0004,5.532,88,39.9
S019,GENE_0005,5.344,413,36.3
S019,GENE_0006,3.420,189,37.1
S019,GENE_0007,2.509,451,31.8
S019,GENE_0008,4.528,369,37.6
S019,GENE_0009,4.119,451,37.6
S019,GENE_0010,4.868,63,31.8
S019,GENE_0011,3.117,292,34.0
S019,GENE_0012,5.151,347,24.3
S019,GENE_0013,6.763,259,39.8
S019,GENE_0014,3.395,106,20.3
S019,GENE_0015,4.040,383,29.2
S019,GENE_0016,6.108,286,38.8
S019,GENE_0017,2.559,359,26.6
S019,GENE_0018,5.122,419,29.3
S019,GENE_0019,4.241,267,38.8
S019,GENE_0020,4.103,51,37.7
S019,GENE_0021,1.667,103,31.0
S019,GENE_0022,5.044,164,24.4
S019,GENE_0023,5.348,176,39.1
S019,GENE_0024,6.019,86,37.2
S019,GENE_0025,5.288,70,36.6
S019,GENE_0026,5.142,239,38.0
S019,GENE_0027,6.689,188,28.1
S019,GENE_0028,4.046,194,23.9
S019,GENE_0029,5.665,80,32.6
S019,GENE_0030,6.034,439,25.8
S020,GENE_0001,1.237,149,33.7
S020,GENE_0002,6.601,103,39.9
S020,GENE_0003,6.475,181,32.9
S020,GENE_0004,4.733,382,27.4
S020,GENE_0005,6.686,243,23.9
S020,GENE_0006,5.067,128,25.2
S020,GENE_0007,3.748,236,36.8
S020,GENE_0008,5.518,104,32.5
S020,GENE_0009,6.939,204,34.3
S020,GENE_0010,5.796,387,26.9
S020,GENE_0011,4.052,125,31.1
S020,GENE_0012,2.977,368,27.4
S020,GENE_0013,6.290,249,35.8
S020,GENE_0014,3.327,231,38.1
S020,GENE_0015,5.015,178,30.5
S020,GENE_0016,2.296,222,21.6
S020,GENE_0017,4.624,119,32.8
S020,GENE_0018,5.766,114,32.5
S020,GENE_0019,3.549,226,23.2
S020,GENE_0020,4.346,187,22.6
S020,GENE_0021,4.604,88,39.6
S020,GENE_0022,3.253,284,26.7
S020,GENE_0023,6.366,446,34.4
S020,GENE_0024,0.266,467,36.8
S020,GENE_0025,3.360,127,31.8
S020,GENE_0026,7.333,379,35.0
S020,GENE_0027,2.958,286,26.4
S020,GENE_0028,5.686,228,36.4
S020,GENE_0029,7.097,379,29.4
S020,GENE_0030,3.087,148,33.1
S021,GENE_0001,6.763,284,28.0
S021,GENE_0002,4.869,272,39.3
S021,GENE_0003,4.504,468,36.9
S021,GENE_0004,5.481,100,38.8
S021,GENE_0005,3.846,406,22.4
S021,GENE_0006,6.189,58,38.6
S021,GENE_0007,3.078,359,28.8
S021,GENE_0008,4.283,469,26.6
S021,GENE_0009,5.023,112,34.1
S021,GENE_0010,2.708,474,27.3
S021,GENE_0011,3.164,374,39.7
S021,GENE_0012,8.094,125,34.1
S021,GENE_0013,4.976,416,32.1
S021,GENE_0014,2.535,448,28.6
S021,GENE_0015,1.875,431,23.8
S021,GENE_0016,7.592,121,20.3
S021,GENE_0017,3.994,366,37.8
S021,GENE_0018,3.205,330,27.1
S021,GENE_0019,4.112,348,26.9
S021,GENE_0020,4.726,482,20.1
S021,GENE_0021,2.934,226,31.2
S021,GENE_0022,5.051,416,35.9
S021,GENE_0023,3.409,355,23.7
S021,GENE_0024,5.971,452,25.9
S021,GENE_0025,6.740,77,37.8
S021,GENE_0026,1.809,370,28.2
S021,GENE_0027,5.354,500,21.0
S021,GENE_0028,1.276,233,23.8
S021,GENE_0029,3.775,132,38.1
S021,GENE_0030,2.438,391,25.9
S022,GENE_0001,3.855,66,24.6
S022,GENE_0002,3.888,382,20.5
S022,GENE_0003,7.062,427,25.0
S022,GENE_0004,6.150,457,20.3
S022,GENE_0005,6.276,447,23.2
S022,GENE_0006,6.681,136,29.2
S022,GENE_0007,3.631,89,28.1
S022,GENE_0008,7.110,395,39.9
S022,GENE_0009,5.957,438,20.3
S022,GENE_0010,7.456,52,28.3
S022,GENE_0011,7.907,255,24.1
S022,GENE_0012,5.154,227,22.7
S022,GENE_0013,5.946,206,26.5
S022,GENE_0014,5.197,162,23.3
S022,GENE_0015,7.135,389,29.4
S022,GENE_0016,6.699,470,30.8
S022,GENE_0017,4.501,374,30.3
S022,GENE_0018,5.595,291,32.3
S022,GENE_0019,5.503,373,39.1
S022,GENE_0020,2.558,320,32.1
S022,GENE_0021,3.127,246,26.3
S022,GENE_0022,3.438,382,33.4
S022,GENE_0023,4.639,275,35.2
S022,GENE_0024,3.599,82,25.1
S022,GENE_0025,5.465,279,36.6
S022,GENE_0026,3.244,478,29.4
S022,GENE_0027,5.552,269,31.6
S022,GENE_0028,5.964,266,34.3
S022,GENE_0029,3.716,221,34.2
S022,GENE_0030,5.281,452,24.2
S023,GENE_0001,7.024,332,21.3
S023,GENE_0002,5.464,147,28.9
S023,GENE_0003,4.885,61,29.2
S023,GENE_0004,6.477,254,30.8
S023,GENE_0005,7.393,198,31.0
S023,GENE_0006,2.536,220,21.3
S023,GENE_0007,3.560,99,24.0
S023,GENE_0008,4.677,93,27.5
S023,GENE_0009,4.303,115,35.9
S023,GENE_0010,5.390,115,30.7
S023,GENE_0011,4.341,499,33.4
S023,GENE_0012,6.297,292,37.8
S023,GENE_0013,2.562,98,20.1
S023,GENE_0014,4.575,466,31.5
S023,GENE_0015,6.718,74,31.8
S023,GENE_0016,5.156,291,34.7
S023,GENE_0017,5.113,215,37.6
S023,GENE_0018,5.317,240,28.1
S023,GENE_0019,6.206,131,30.0
S023,GENE_0020,6.113,204,32.5
S023,GENE_0021,4.300,165,26.1
S023,GENE_0022,5.107,342,20.2
S023,GENE_0023,4.054,206,21.5
S023,GENE_0024,3.314,216,23.0
S023,GENE_0025,3.997,472,22.1
S023,GENE_0026,5.431,483,22.0
S023,GENE_0027,4.929,427,25.5
S023,GENE_0028,3.502,444,37.5
S023,GENE_0029,6.070,441,28.3
S023,GENE_0030,5.207,292,25.1
S024,GENE_0001,4.317,433,34.1
S024,GENE_0002,5.522,252,33.8
S024,GENE_0003,4.161,127,20.4
S024,GENE_0004,3.186,56,34.7
S024,GENE_0005,4.264,373,21.1
S024,GENE_0006,4.998,95,31.4
S024,GENE_0007,2.389,456,27.9
S024,GENE_0008,3.494,99,21.1
